2024-11-08 18:48:33.348 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 18:48:33.353 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 18:48:33.357 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 18:48:33.361 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 18:48:33.363 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 18:48:33.366 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 18:48:33.369 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 18:48:33.374 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 18:48:33.378 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 18:48:33.381 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 18:48:33.384 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
