2022-04-12 18:08:14.796 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:09:12.678 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:09:13.539 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:09:13.544 | INFO     | modules.Project:ComparisonPDF:978 - ---------->proimglist 处理完成
2022-04-12 18:09:13.573 | INFO     | modules.Project:ComparisonPDF:1001 - ---------->page 1
2022-04-12 18:09:13.815 | INFO     | modules.Project:ComparisonPDF:1061 - ---------->page 2
2022-04-12 18:09:13.818 | INFO     | modules.Project:ComparisonPDF:1064 - ---------->page 3
2022-04-12 18:09:13.877 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:10:38.981 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:10:39.924 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:10:39.928 | INFO     | modules.Project:ComparisonPDF:981 - ---------->proimglist 处理完成
2022-04-12 18:10:39.947 | INFO     | modules.Project:ComparisonPDF:1004 - ---------->page 1
2022-04-12 18:10:40.132 | INFO     | modules.Project:ComparisonPDF:1064 - ---------->page 2
2022-04-12 18:10:40.135 | INFO     | modules.Project:ComparisonPDF:1067 - ---------->page 3
2022-04-12 18:10:40.193 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:11:36.494 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:11:37.458 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:11:37.464 | INFO     | modules.Project:ComparisonPDF:982 - ---------->proimglist 处理完成
2022-04-12 18:11:37.485 | INFO     | modules.Project:ComparisonPDF:1005 - ---------->page 1
2022-04-12 18:11:37.680 | INFO     | modules.Project:ComparisonPDF:1065 - ---------->page 2
2022-04-12 18:11:37.683 | INFO     | modules.Project:ComparisonPDF:1068 - ---------->page 3
2022-04-12 18:11:37.748 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:12:03.650 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:12:04.589 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:12:04.593 | INFO     | modules.Project:ComparisonPDF:982 - ---------->proimglist 处理完成
2022-04-12 18:12:04.633 | INFO     | modules.Project:ComparisonPDF:1005 - ---------->page 1
2022-04-12 18:12:04.812 | INFO     | modules.Project:ComparisonPDF:1065 - ---------->page 2
2022-04-12 18:12:04.815 | INFO     | modules.Project:ComparisonPDF:1068 - ---------->page 3
2022-04-12 18:12:04.894 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:13:13.321 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:13:14.262 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:13:14.266 | INFO     | modules.Project:ComparisonPDF:982 - ---------->proimglist 处理完成
2022-04-12 18:13:14.285 | INFO     | modules.Project:ComparisonPDF:1005 - ---------->page 1
2022-04-12 18:13:14.463 | INFO     | modules.Project:ComparisonPDF:1065 - ---------->page 2
2022-04-12 18:13:14.466 | INFO     | modules.Project:ComparisonPDF:1068 - ---------->page 3
2022-04-12 18:13:14.523 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
